Time, Yaw, Pitch, Roll
sec, deg, deg, deg
49.354, 351.17, -41.7, 126.45
49.387, 353.68, -43.14, 125.93
49.421, 356.89, -45.53, 124.94
49.453, 359.5, -48.98, 125.53
49.487, 359.74, -50.7, 127.93
49.521, 0.24, -53.23, 130.25
49.554, 2.27, -57.72, 131.99
49.588, 3.11, -60.86, 134.29
49.62, 2.74, -63.52, 137.62
49.654, 3.44, -65.49, 140.17
49.687, 6.35, -67.47, 140.03
49.72, 10.08, -70.36, 139.03
49.754, 7.81, -74.66, 142.82
49.788, 353.62, -77.95, 157.22
49.821, 330.66, -80.92, -179.12
49.854, 307.07, -81.91, -152.83
49.887, 305.46, -84.3, -141.7
49.921, 313.39, -82.94, -147.61
49.954, 317.64, -80.95, -152.11
49.988, 306.25, -82.12, -139.62
50.021, 280.02, -84.01, -110.4
50.053, 254.43, -84.14, -82.03
50.088, 243.1, -83.7, -69.03
50.121, 230.57, -82.77, -54.73
50.154, 220.22, -80.98, -41.91
50.188, 213.92, -79.24, -32.39
50.22, 212.95, -78.53, -28.98
50.254, 211.91, -77.33, -25.57
50.287, 208.68, -74.82, -19.97
50.321, 206.06, -70.61, -14.13
50.354, 205.1, -68.38, -11.08
50.388, 205.87, -66.47, -9.8
50.421, 207.72, -62.86, -8.97
50.453, 206.43, -60.94, -6.11
50.488, 207.23, -59.73, -5.03
50.521, 209.02, -58.53, -4.56
50.555, 210.5, -56.2, -1.28
50.588, 209.95, -54.29, 2.35
50.621, 209.46, -52.49, 6.49
50.654, 210.9, -51.78, 7.77
50.688, 211.92, -51.05, 10.02
50.721, 212.01, -50.32, 13.09
50.754, 213.68, -49.4, 16.44
50.788, 216.31, -48.83, 18.03
50.82, 217.46, -48.56, 19.59
50.855, 218.54, -48.85, 20.03
50.887, 219.76, -48.94, 20.9
50.921, 222.09, -49.02, 22.1
50.953, 225.39, -49.14, 23.21
50.988, 227.78, -49.25, 23.3
51.021, 230.21, -49.41, 23.32
51.055, 232.74, -49.64, 23.7
51.088, 237.05, -50.52, 23.42
51.121, 241.03, -51.28, 23.02
51.154, 245.06, -51.95, 22.46
51.188, 251.26, -53.09, 20.75
51.22, 257.69, -53.56, 17.75
51.255, 263.23, -53.45, 15.23
51.287, 270.28, -52.58, 12.72
51.321, 276.91, -52.28, 9.8
51.355, 282.79, -51.65, 7.1
51.388, 287.27, -51.26, 5.57
51.421, 294.45, -50.14, 3.13
51.454, 298.34, -49.65, 1.42
51.488, 300.65, -49.28, 0.75
51.521, 307.15, -48.42, -1.19
51.554, 312.11, -47.42, -2.32
51.588, 315.07, -46.82, -2.64
51.62, 319.15, -46.49, -3.97
51.654, 324.12, -45.52, -5.57
51.687, 329.24, -44.21, -7.16
51.721, 335.13, -42.96, -9.09
51.754, 340.95, -41.61, -11.24
51.788, 347.15, -39.65, -13.57
51.821, 352.42, -37.71, -15.33
51.855, 357.09, -36.48, -16.02
51.887, 0.98, -35.15, -17.78
51.92, 5.55, -32.89, -20.36
51.953, 11.19, -29.94, -23.62
51.988, 14.59, -28.56, -25.46
52.021, 17.84, -27.41, -27.18
52.054, 22.64, -25.68, -29.71
52.088, 26.03, -24.38, -31.3
52.121, 28.74, -23.42, -32.16
52.154, 32.24, -22.03, -33.48
52.187, 34.76, -20.82, -34.19
52.221, 36.83, -19.64, -33.96
52.254, 38.45, -18.79, -33.4
52.288, 40.94, -17.08, -33.32
52.321, 42.75, -15.47, -33.4
52.354, 44.2, -14.09, -33.45
52.388, 46.04, -12.34, -32.76
52.421, 47.59, -10.97, -31.65
52.454, 49.22, -9.43, -30.67
52.488, 51.33, -7.43, -30.63
52.521, 52.93, -6.36, -30.83
52.554, 54.53, -5.61, -30.56
52.588, 56.81, -4.36, -30.03
52.621, 58.31, -3.33, -29.71
52.654, 59.34, -2.24, -28.36
52.688, 60.75, -1.06, -27.12
52.721, 62.68, 0.25, -26.09
52.755, 64.27, 1.46, -25.53
52.787, 65.51, 2.74, -24.9
52.821, 67.83, 4.36, -24.47
52.855, 69.87, 6.07, -24.15
52.887, 71.56, 7.73, -23.57
52.921, 73.31, 9.02, -23.98
52.955, 74.55, 9.71, -24.7
52.987, 76.14, 10.39, -24.51
53.021, 78.19, 11.38, -23.87
53.054, 79.17, 11.98, -24.17
53.087, 79.76, 11.89, -24.04
53.121, 80.69, 11.55, -23.6
53.154, 81.59, 11.32, -22.55
53.188, 82.49, 10.98, -21.55
53.22, 83.08, 11.07, -20.73
53.255, 83.85, 10.65, -19.48
53.288, 85.24, 8.98, -16.64
53.321, 86.33, 6.56, -14.04
53.355, 87.1, 5.06, -13.18
53.388, 87.7, 4.19, -11.18
53.421, 89.34, 3.76, -7.77
53.454, 91.52, 3.31, -4.34
53.487, 92.65, 3.09, -3.18
53.522, 93.58, 3.51, -2.33
53.554, 94.62, 4.13, -1.0
53.588, 96.46, 4.34, 1.08
53.621, 97.83, 3.77, 1.86
53.655, 99.22, 2.98, 2.58
53.687, 100.97, 1.66, 3.57
53.721, 102.0, 0.7, 3.98
53.755, 102.81, 0.22, 4.56
53.788, 104.01, 0.02, 5.36
53.821, 105.25, -0.39, 6.23
53.854, 106.13, -1.24, 7.04
53.888, 107.8, -2.17, 7.72
53.92, 108.86, -2.63, 8.29
53.955, 109.42, -2.55, 8.76
53.988, 110.93, -2.49, 8.57
54.021, 112.3, -2.79, 8.78
54.054, 113.64, -2.72, 8.67
54.088, 114.76, -2.65, 8.81
54.121, 116.14, -2.58, 8.82
54.155, 117.28, -2.78, 8.07
54.188, 118.43, -3.38, 6.86
54.221, 120.14, -4.81, 5.2
54.255, 121.31, -5.63, 4.99
54.288, 121.95, -6.12, 5.33
54.321, 122.57, -6.28, 4.17
54.354, 123.21, -6.54, 3.36
54.388, 123.76, -6.84, 2.65
54.421, 124.15, -7.43, 2.4
54.455, 124.18, -7.92, 1.85
54.487, 124.44, -8.29, 0.57
54.521, 124.88, -9.1, -0.56
54.555, 124.8, -9.76, -1.23
54.588, 124.62, -9.98, -1.91
54.621, 124.51, -10.3, -2.75
54.654, 124.56, -10.96, -3.59
54.688, 125.03, -11.43, -3.85
54.721, 125.29, -11.91, -4.06
54.754, 125.7, -12.46, -3.67
54.788, 125.88, -13.44, -3.21
54.821, 125.91, -15.11, -3.31
54.855, 125.22, -17.53, -2.17
54.888, 125.11, -18.35, -1.49
54.921, 125.32, -18.42, -1.54
54.954, 125.68, -17.59, -1.51
54.988, 126.37, -15.54, -1.63
55.02, 126.54, -14.41, -1.77
55.054, 126.72, -13.47, -1.86
55.088, 126.87, -11.75, -1.97
55.121, 126.85, -9.47, -2.12
55.154, 126.65, -6.45, -2.37
55.187, 126.34, -2.77, -2.63
55.221, 126.1, 0.47, -2.87
55.255, 126.13, 0.54, -2.88
55.288, 126.14, 0.51, -2.88
55.321, 126.15, 0.48, -2.87
55.355, 126.15, 0.46, -2.87
55.388, 126.15, 0.43, -2.86
55.421, 126.16, 0.4, -2.86
55.454, 126.17, 0.38, -2.85
55.488, 126.18, 0.37, -2.84
55.521, 126.18, 0.35, -2.83
55.555, 126.18, 0.31, -2.83
55.588, 126.19, 0.29, -2.83
55.622, 126.2, 0.26, -2.82
55.653, 126.21, 0.26, -2.82
55.688, 126.21, 0.25, -2.8
55.721, 126.23, 0.23, -2.79
55.754, 126.24, 0.21, -2.78
55.789, 126.25, 0.2, -2.77
55.821, 126.26, 0.18, -2.77
55.855, 126.26, 0.15, -2.76
55.888, 126.27, 0.14, -2.75
55.921, 126.27, 0.12, -2.76
55.954, 126.29, 0.12, -2.75
55.988, 126.3, 0.1, -2.74
56.021, 126.31, 0.09, -2.74
56.055, 126.32, 0.09, -2.73
56.088, 126.34, 0.08, -2.72
56.121, 126.35, 0.07, -2.71
56.155, 126.35, 0.06, -2.7
56.188, 126.36, 0.04, -2.7
56.221, 126.37, 0.04, -2.69
56.255, 126.38, 0.03, -2.69
56.287, 126.39, 0.01, -2.68
56.321, 126.41, 0.0, -2.67
56.354, 126.41, -0.0, -2.66
56.388, 126.42, -0.0, -2.65
56.422, 126.44, -0.01, -2.64
56.454, 126.45, -0.02, -2.63
56.488, 126.46, -0.03, -2.63
56.521, 126.47, -0.04, -2.62
56.554, 126.48, -0.06, -2.62
56.589, 126.48, -0.07, -2.62
56.621, 126.5, -0.08, -2.62
56.655, 126.51, -0.08, -2.6
56.687, 126.52, -0.09, -2.6
56.721, 126.53, -0.11, -2.6
56.754, 126.54, -0.12, -2.6
56.789, 126.54, -0.12, -2.59
56.821, 126.55, -0.14, -2.59
56.855, 126.56, -0.15, -2.58
56.888, 126.57, -0.16, -2.58
56.921, 126.57, -0.17, -2.57
56.955, 126.58, -0.19, -2.56
56.988, 126.59, -0.19, -2.56
57.021, 126.6, -0.19, -2.56
57.054, 126.61, -0.2, -2.56
57.088, 126.62, -0.21, -2.56
57.121, 126.63, -0.22, -2.55
57.154, 126.64, -0.24, -2.56
57.188, 126.65, -0.24, -2.55
57.222, 126.66, -0.24, -2.55
57.255, 126.67, -0.25, -2.54
57.288, 126.68, -0.25, -2.54
57.322, 126.69, -0.26, -2.54
57.355, 126.7, -0.26, -2.55
57.388, 126.72, -0.27, -2.54
57.421, 126.72, -0.28, -2.54
57.455, 126.74, -0.3, -2.54
57.488, 126.74, -0.3, -2.53
57.522, 126.74, -0.32, -2.54
57.554, 126.75, -0.32, -2.54
57.589, 126.77, -0.33, -2.53
57.621, 126.78, -0.34, -2.54
57.655, 126.78, -0.34, -2.53
57.688, 126.8, -0.34, -2.53
57.722, 126.82, -0.34, -2.52
57.755, 126.82, -0.36, -2.52
57.788, 126.83, -0.36, -2.51
57.821, 126.84, -0.37, -2.51
57.855, 126.85, -0.38, -2.5
57.888, 126.87, -0.37, -2.49
57.922, 126.88, -0.37, -2.48
57.954, 126.89, -0.37, -2.48
57.988, 126.9, -0.37, -2.48
58.022, 126.91, -0.38, -2.47
58.054, 126.91, -0.39, -2.47
58.089, 126.92, -0.39, -2.46
58.121, 126.93, -0.4, -2.46
58.154, 126.94, -0.41, -2.46
58.188, 126.95, -0.41, -2.46
58.221, 126.95, -0.42, -2.46
58.254, 126.97, -0.43, -2.46
58.288, 126.97, -0.44, -2.46
58.321, 126.97, -0.45, -2.46
58.355, 126.98, -0.46, -2.46
58.388, 126.99, -0.46, -2.46
58.421, 126.99, -0.47, -2.46
58.454, 127.0, -0.49, -2.47
58.488, 127.0, -0.5, -2.47
58.522, 127.0, -0.51, -2.47
58.554, 127.01, -0.52, -2.47
58.588, 127.01, -0.53, -2.48
58.622, 127.02, -0.53, -2.46
58.654, 127.04, -0.53, -2.46
58.688, 127.04, -0.53, -2.44
58.721, 127.05, -0.53, -2.44
58.755, 127.05, -0.54, -2.44
58.789, 127.07, -0.54, -2.44
58.821, 127.08, -0.54, -2.43
58.855, 127.08, -0.55, -2.43
58.888, 127.09, -0.55, -2.43
58.921, 127.09, -0.56, -2.43
58.955, 127.1, -0.57, -2.43
58.989, 127.11, -0.57, -2.44
59.021, 127.12, -0.57, -2.44
59.054, 127.12, -0.58, -2.44
59.088, 127.14, -0.57, -2.43
59.121, 127.15, -0.58, -2.43
59.154, 127.15, -0.59, -2.43
59.189, 127.15, -0.6, -2.44
59.221, 127.16, -0.6, -2.44
59.256, 127.16, -0.61, -2.44
59.287, 127.16, -0.62, -2.44
59.322, 127.16, -0.63, -2.44
59.354, 127.17, -0.63, -2.44
59.389, 127.17, -0.64, -2.45
59.421, 127.17, -0.65, -2.45
59.455, 127.19, -0.65, -2.45
59.488, 127.2, -0.65, -2.44
59.522, 127.21, -0.65, -2.44
59.555, 127.21, -0.65, -2.43
59.588, 127.22, -0.65, -2.43
59.622, 127.23, -0.65, -2.42
59.654, 127.23, -0.66, -2.43
59.689, 127.24, -0.66, -2.44
59.721, 127.25, -0.67, -2.44
59.755, 127.26, -0.67, -2.44
59.789, 127.27, -0.68, -2.45
59.822, 127.28, -0.67, -2.44
59.855, 127.28, -0.68, -2.45
59.889, 127.3, -0.68, -2.45
59.922, 127.31, -0.68, -2.45
59.955, 127.31, -0.68, -2.45
59.989, 127.32, -0.68, -2.45
60.023, 127.33, -0.68, -2.44
60.055, 127.33, -0.69, -2.45
60.088, 127.34, -0.7, -2.45
60.121, 127.35, -0.7, -2.45
60.155, 127.35, -0.71, -2.45
60.188, 127.35, -0.71, -2.45
60.222, 127.36, -0.72, -2.45
60.255, 127.37, -0.71, -2.45
60.288, 127.38, -0.71, -2.45
60.322, 127.4, -0.71, -2.46
60.354, 127.4, -0.73, -2.46
60.388, 127.41, -0.73, -2.46
60.422, 127.42, -0.73, -2.45
60.454, 127.42, -0.73, -2.45
60.488, 127.42, -0.73, -2.44
60.522, 127.43, -0.74, -2.44
60.554, 127.44, -0.74, -2.44
60.589, 127.44, -0.74, -2.44
60.622, 127.44, -0.75, -2.45
60.654, 127.45, -0.75, -2.45
60.688, 127.44, -0.77, -2.46
60.721, 127.45, -0.77, -2.45
60.756, 127.45, -0.78, -2.46
60.788, 127.43, -0.81, -2.48
60.822, 127.44, -0.81, -2.48
60.855, 127.43, -0.83, -2.48
60.888, 127.45, -0.82, -2.48
60.922, 127.45, -0.83, -2.48
60.955, 127.46, -0.84, -2.48
60.988, 127.47, -0.84, -2.48
61.022, 127.47, -0.84, -2.47
61.054, 127.47, -0.85, -2.48
61.088, 127.47, -0.87, -2.48
61.121, 127.48, -0.87, -2.48
61.155, 127.48, -0.87, -2.47
61.188, 127.48, -0.87, -2.48
61.222, 127.49, -0.87, -2.48
61.254, 127.5, -0.87, -2.48
61.288, 127.51, -0.87, -2.48
61.322, 127.52, -0.86, -2.47
61.354, 127.53, -0.86, -2.47
61.389, 127.54, -0.85, -2.48
61.421, 127.54, -0.86, -2.48
61.455, 127.54, -0.86, -2.47
61.488, 127.55, -0.86, -2.47
61.522, 127.56, -0.86, -2.48
61.554, 127.57, -0.86, -2.48
61.589, 127.57, -0.86, -2.47
61.621, 127.58, -0.86, -2.48
61.655, 127.59, -0.86, -2.48
61.687, 127.59, -0.87, -2.49
61.722, 127.6, -0.87, -2.49
61.755, 127.61, -0.87, -2.49
61.789, 127.61, -0.87, -2.49
61.821, 127.62, -0.87, -2.49
61.854, 127.63, -0.86, -2.49
61.888, 127.64, -0.86, -2.49
61.922, 127.64, -0.87, -2.49
61.954, 127.65, -0.88, -2.49
61.988, 127.66, -0.87, -2.48
62.022, 127.65, -0.88, -2.49
62.057, 127.66, -0.88, -2.5
62.089, 127.66, -0.88, -2.5
62.122, 127.67, -0.88, -2.51
62.156, 127.69, -0.87, -2.5
62.188, 127.69, -0.88, -2.51
62.222, 127.7, -0.88, -2.51
62.255, 127.71, -0.87, -2.51
62.288, 127.72, -0.87, -2.5
62.329, 127.73, -0.86, -2.5
62.356, 127.73, -0.86, -2.5
62.389, 127.74, -0.87, -2.5
62.421, 127.74, -0.86, -2.49
62.455, 127.75, -0.86, -2.49
62.488, 127.75, -0.86, -2.5
62.522, 127.76, -0.86, -2.49
62.555, 127.77, -0.87, -2.5
62.589, 127.78, -0.87, -2.5
62.621, 127.78, -0.87, -2.5
62.654, 127.78, -0.87, -2.51
62.688, 127.79, -0.88, -2.5
62.721, 127.8, -0.88, -2.5
62.755, 127.8, -0.89, -2.5
62.788, 127.8, -0.89, -2.51
62.822, 127.81, -0.89, -2.51
62.854, 127.81, -0.89, -2.5
62.888, 127.83, -0.88, -2.49
62.921, 127.84, -0.88, -2.49
62.955, 127.86, -0.87, -2.49
62.988, 127.87, -0.87, -2.49
63.022, 127.87, -0.87, -2.49
63.055, 127.88, -0.88, -2.49
63.089, 127.89, -0.88, -2.48
63.121, 127.89, -0.89, -2.49
63.154, 127.89, -0.89, -2.48
63.188, 127.89, -0.89, -2.48
63.221, 127.89, -0.9, -2.49
63.254, 127.9, -0.91, -2.5
63.288, 127.9, -0.91, -2.5
63.321, 127.91, -0.91, -2.49
63.354, 127.91, -0.92, -2.49
63.388, 127.91, -0.92, -2.49
63.421, 127.92, -0.92, -2.5
63.454, 127.92, -0.92, -2.5
63.488, 127.93, -0.92, -2.49
63.521, 127.93, -0.93, -2.5
63.555, 127.94, -0.93, -2.51
63.588, 127.95, -0.92, -2.51
63.621, 127.95, -0.92, -2.51
63.655, 127.96, -0.92, -2.51
63.688, 127.97, -0.93, -2.52
63.721, 127.97, -0.93, -2.52
63.754, 127.98, -0.93, -2.51
63.788, 128.0, -0.92, -2.51
63.822, 128.0, -0.92, -2.51
63.854, 128.01, -0.93, -2.51
63.888, 128.0, -0.94, -2.51
63.922, 128.01, -0.94, -2.52
63.954, 128.01, -0.94, -2.52
63.988, 128.02, -0.95, -2.52
64.021, 128.02, -0.95, -2.51
64.055, 128.02, -0.95, -2.52
64.088, 128.03, -0.94, -2.52
64.121, 128.04, -0.95, -2.52
64.155, 128.05, -0.95, -2.52
64.188, 128.06, -0.95, -2.52
64.222, 128.07, -0.95, -2.52
64.255, 128.07, -0.95, -2.53
64.288, 128.07, -0.96, -2.53
64.321, 128.08, -0.96, -2.53
64.354, 128.09, -0.96, -2.53
64.388, 128.1, -0.96, -2.53
64.421, 128.11, -0.95, -2.53
64.455, 128.11, -0.96, -2.53
64.488, 128.1, -0.97, -2.53
64.522, 128.11, -0.97, -2.53
64.554, 128.11, -0.97, -2.53
64.589, 128.11, -0.98, -2.54
64.621, 128.11, -0.99, -2.54
64.655, 128.12, -0.99, -2.54
64.688, 128.12, -0.99, -2.55
64.721, 128.12, -1.0, -2.55
64.755, 128.11, -1.01, -2.56
64.788, 128.11, -1.01, -2.56
64.822, 128.11, -1.01, -2.57
64.854, 128.11, -1.02, -2.57
64.888, 128.13, -1.01, -2.56
64.921, 128.14, -1.0, -2.56
64.955, 128.15, -1.0, -2.56
64.988, 128.16, -0.99, -2.57
65.022, 128.16, -0.99, -2.56
65.054, 128.17, -0.99, -2.56
65.088, 128.17, -0.99, -2.55
65.121, 128.19, -0.99, -2.54
65.155, 128.19, -0.99, -2.54
65.188, 128.2, -1.0, -2.54
65.222, 128.21, -0.99, -2.53
65.254, 128.21, -0.99, -2.54
65.287, 128.22, -1.0, -2.55
65.322, 128.22, -1.0, -2.55
65.354, 128.22, -1.0, -2.55
65.389, 128.23, -0.99, -2.55
65.422, 128.23, -0.99, -2.55
65.455, 128.23, -1.0, -2.56
65.488, 128.24, -1.0, -2.56
65.522, 128.25, -1.0, -2.56
65.555, 128.25, -1.01, -2.56
65.588, 128.26, -1.01, -2.57
65.623, 128.26, -1.02, -2.57
65.655, 128.26, -1.02, -2.57
65.689, 128.26, -1.02, -2.58
65.722, 128.27, -1.02, -2.58
65.755, 128.27, -1.02, -2.59
65.789, 128.27, -1.02, -2.59
65.821, 128.27, -1.03, -2.59
65.855, 128.27, -1.04, -2.6
65.889, 128.28, -1.04, -2.6
